full_address,confidence,type,org_name1,org_name2,street_num,street_name,suburb,neighbourhood,pincode,country
"Guoco Tower, 1 Wallich Street, Tanjong Pagar, Chinatown, Singapore 078881, Singapore",9,others,,Guoco Tower,1,Wallich Street,Tanjong Pagar,Chinatown,78881,Singapore
"URA Centre (East Wing), Ann Siang Road, Tanjong Pagar, Chinatown, Singapore 069708, Singapore",10,building,,URA Centre (East Wing),1,Ann Siang Road,Tanjong Pagar,Chinatown,69708,Singapore
"Red Dot Design Museum, 11 Marina Boulevard, Raffles Place, Chinatown, Singapore 089140, Singapore",9,others,,Red Dot Design Museum,11,Marina Boulevard,Raffles Place,Chinatown,89140,Singapore
"Wallich Street, Tanjong Pagar, Chinatown, Singapore 078881, Singapore",9,road,,Red Dot Design Museum,11,Wallich Street,Tanjong Pagar,Chinatown,78881,Singapore
"Wallich Street, Tanjong Pagar, Chinatown, Singapore 078881, Singapore",9,road,,Guoco Tower,1,Wallich Street,Tanjong Pagar,Chinatown,78881,Singapore
"Maxwell Chambers, 32 Wallich Street, Shenton Way, Chinatown, Singapore 069119, Singapore",10,building,,Maxwell Chambers,32,Wallich Street,Shenton Way,Chinatown,69119,Singapore
"Tanjong Pagar (EWL), Choon Guan Street, Tanjong Pagar, Chinatown, Singapore 69119, Singapore",9,others,,Tanjong Pagar (EWL),1,Choon Guan Street,Tanjong Pagar,Chinatown,69119,Singapore
"International Plaza, 10 Anson Road, Shenton Way, Chinatown, Singapore 079903, Singapore",10,building,,International Plaza,10,Anson Road,Shenton Way,Chinatown,79903,Singapore
"Singtel Telephone Exchange, 30 Choon Guan Street, Tanjong Pagar, Chinatown, Singapore 079808, Singapore",10,building,,Singtel Telephone Exchange,30,Choon Guan Street,Tanjong Pagar,Chinatown,79808,Singapore
"Tanjong Pagar (EWL), Choon Guan Street, Tanjong Pagar, Chinatown, Singapore 69119, Singapore",9,others,,Tanjong Pagar (EWL),30,Choon Guan Street,Tanjong Pagar,Chinatown,69119,Singapore
"Japan Rail Cafe, 5 Wallich Street, Tanjong Pagar, Chinatown, Singapore 078883, Singapore",9,others,,Japan Rail Cafe,5,Wallich Street,Tanjong Pagar,Chinatown,78883,Singapore
"Peck Seah Street, Tanjong Pagar, Chinatown, Singapore 069113, Singapore",9,road,,Red Dot Design Museum,11,Peck Seah Street,Tanjong Pagar,Chinatown,69113,Singapore
"MND Complex (Annexe A), 9 Maxwell Road, Tanjong Pagar, Chinatown, Singapore 069112, Singapore",10,building,,MND Complex (Annexe A),9,Maxwell Road,Tanjong Pagar,Chinatown,69112,Singapore
"URA Centre, 45 Maxwell Road, Tanjong Pagar, Chinatown, Singapore 069118, Singapore",10,building,,URA Centre,45,Maxwell Road,Tanjong Pagar,Chinatown,69118,Singapore
"UOB, 1 Kadayanallur Street, Tanjong Pagar, Chinatown, Singapore 69184, Singapore",9,others,,UOB,1,Kadayanallur Street,Tanjong Pagar,Chinatown,69184,Singapore
"Maxwell Road, Tanjong Pagar, Chinatown, Singapore 69184, Singapore",9,road,,UOB,1,Maxwell Road,Tanjong Pagar,Chinatown,69184,Singapore
"Ye Lai Xiang Tasty Barbecue, 1 Kadayanallur Street, Tanjong Pagar, Chinatown, Singapore 069184, Singapore",9,restaurant,,Ye Lai Xiang Tasty Barbecue,1,Kadayanallur Street,Tanjong Pagar,Chinatown,69184,Singapore
"Maxwell Road Food Centre, 1 Kadayanallur Street, Tanjong Pagar, Chinatown, Singapore 069184, Singapore",10,building,,Maxwell Road Food Centre,1,Kadayanallur Street,Tanjong Pagar,Chinatown,69184,Singapore
"Maxwell Road, Tanjong Pagar, Chinatown, Singapore 69184, Singapore",9,road,,Maxwell Road Food Centre,1,Maxwell Road,Tanjong Pagar,Chinatown,69184,Singapore
"Tanjong Pagar Road, Tanjong Pagar, Chinatown, Singapore 088437, Singapore",9,road,,Maxwell Road Food Centre,1,Tanjong Pagar Road,Tanjong Pagar,Chinatown,88437,Singapore
"Maxwell Fuzhou Oyster Cake, 1 Kadayanallur Street, Tanjong Pagar, Chinatown, Singapore 069184, Singapore",9,restaurant,,Maxwell Fuzhou Oyster Cake,1,Kadayanallur Street,Tanjong Pagar,Chinatown,69184,Singapore
