org_name2,street_num,street_name,suburb,neighbourhood,pincode,country
Guoco Tower,1,Wallich Street,Tanjong Pagar,Chinatown,78881,Singapore
URA Centre (East Wing),1,Ann Siang Road,Tanjong Pagar,Chinatown,69708,Singapore
Red Dot Design Museum,11,Marina Boulevard,Raffles Place,Chinatown,89140,Singapore
Red Dot Design Museum,11,Wallich Street,Tanjong Pagar,Chinatown,78881,Singapore
Guoco Tower,1,Wallich Street,Tanjong Pagar,Chinatown,78881,Singapore
Maxwell Chambers,32,Wallich Street,Shenton Way,Chinatown,69119,Singapore
Tanjong Pagar (EWL),1,Choon Guan Street,Tanjong Pagar,Chinatown,69119,Singapore
International Plaza,10,Anson Road,Shenton Way,Chinatown,79903,Singapore
Singtel Telephone Exchange,30,Choon Guan Street,Tanjong Pagar,Chinatown,79808,Singapore
Tanjong Pagar (EWL),30,Choon Guan Street,Tanjong Pagar,Chinatown,69119,Singapore
Japan Rail Cafe,5,Wallich Street,Tanjong Pagar,Chinatown,78883,Singapore
Red Dot Design Museum,11,Peck Seah Street,Tanjong Pagar,Chinatown,69113,Singapore
MND Complex (Annexe A),9,Maxwell Road,Tanjong Pagar,Chinatown,69112,Singapore
URA Centre,45,Maxwell Road,Tanjong Pagar,Chinatown,69118,Singapore
UOB,1,Kadayanallur Street,Tanjong Pagar,Chinatown,69184,Singapore
UOB,1,Maxwell Road,Tanjong Pagar,Chinatown,69184,Singapore
Ye Lai Xiang Tasty Barbecue,1,Kadayanallur Street,Tanjong Pagar,Chinatown,69184,Singapore
Maxwell Road Food Centre,1,Kadayanallur Street,Tanjong Pagar,Chinatown,69184,Singapore
Maxwell Road Food Centre,1,Maxwell Road,Tanjong Pagar,Chinatown,69184,Singapore
Maxwell Road Food Centre,1,Tanjong Pagar Road,Tanjong Pagar,Chinatown,88437,Singapore
Maxwell Fuzhou Oyster Cake,1,Kadayanallur Street,Tanjong Pagar,Chinatown,69184,Singapore
Maxwell,1,Spring Street,Tanjong Pagar,Chinatown,50005,Singapore
Eight Treasures Vegetarian,282A,South Bridge Road,Tanjong Pagar,Chinatown,58837,Singapore
Buddha Tooth Relic Temple,288,South Bridge Road,Tanjong Pagar,Chinatown,58840,Singapore
Buddha Tooth Relic Temple,288,South Bridge Road,Tanjong Pagar,Chinatown,58840,Singapore
Buddha Tooth Relic Temple,35,Erskine Road,Tanjong Pagar,Chinatown,69333,Singapore
Buddha Tooth Relic Temple,297,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Buddha Tooth Relic Temple,295,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Buddha Tooth Relic Temple,293,South Bridge Road,City Hall,Clarke Quay,58837,Singapore
Buddha Tooth Relic Temple,291,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Buddha Tooth Relic Temple,289,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Nam Cheong Pawnshop,287,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Nam Cheong Pawnshop,285,South Bridge Road,City Hall,Clarke Quay,58833,Singapore
Nam Cheong Pawnshop,283,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Hygeia,283,Ann Siang Hill,Tanjong Pagar,Chinatown,69784,Singapore
Hygeia,281,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Hygeia,279,South Bridge Road,City Hall,Clarke Quay,58828,Singapore
Hygeia,277,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
Hygeia,275,South Bridge Road,City Hall,Clarke Quay,58716,Singapore
