source,location_id,country,city,postalcode,name,latitude,longitude,address,cuisine,category,rating,ranking,num_reviews,awards,num_reviews.1,web_url
TripAdvisor,13837442,Indonesia,Pangkal Pinang,33684.0,Warung Sepradik Kite,-2.1383330000000003,106.09711000000001,"Pangkal Pinang, Bangka Island 33684 Indonesia","[{'name': 'asian', 'localized_name': 'Asian'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}]",restaurant,,,0,[],0,https://www.tripadvisor.com/Restaurant_Review-g1234796-d13837442-Reviews-Warung_Sepradik_Kite-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumat.html?m=39546
TripAdvisor,6780860,Indonesia,Pangkal Pinang,,Manifesto Coffee Bar,-2.13416,106.10927,"Jl. Solihin GP no. 41, Pangkal Pinang, Bangka Island Indonesia",[],restaurant,4.0,"{'ranking_string': '#16 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '16', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#2 of 2 Coffee &amp; Tea in Pangkal Pinang']}",7,[],7,https://www.tripadvisor.com/Restaurant_Review-g1234796-d6780860-Reviews-Manifesto_Coffee_Bar-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatr.html?m=39546
TripAdvisor,14796437,Indonesia,Pangkal Pinang,33684.0,OverFresh SeaFood,-2.13416,106.10927,"Jl. Solihin GP No.21 Melintang, Rangkui, Pangkal Pinang, Bangka Island 33684 Indonesia","[{'name': 'asian', 'localized_name': 'Asian'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}]",restaurant,,,0,[],0,https://www.tripadvisor.com/Restaurant_Review-g1234796-d14796437-Reviews-OverFresh_SeaFood-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,13921252,Indonesia,Pangkal Pinang,,Otak Otak Fung Fung,-2.11585,106.09336,"Jl. Kampung Bintang Bintang, Rangkui, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'asian', 'localized_name': 'Asian'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}]",restaurant,4.0,"{'ranking_string': '#26 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '26', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#23 of 39 Restaurants in Pangkal Pinang']}",1,[],1,https://www.tripadvisor.com/Restaurant_Review-g1234796-d13921252-Reviews-Otak_Otak_Fung_Fung-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatr.html?m=39546
TripAdvisor,14996225,Indonesia,Pangkal Pinang,,Kedai Momo,-2.11585,106.09336,"Jl. Kampung Bintang Bintang, Rangkui, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'cafe', 'localized_name': 'Cafe'}, {'name': 'asian', 'localized_name': 'Asian'}, {'name': 'diner', 'localized_name': 'Diner'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}]",restaurant,,,0,[],0,https://www.tripadvisor.com/Restaurant_Review-g1234796-d14996225-Reviews-Kedai_Momo-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,3853774,Indonesia,Pangkal Pinang,,Es Ayong,-2.13385,106.10923999999999,"Jalan Theresia, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'indonesian', 'localized_name': 'Indonesian'}, {'name': 'asian', 'localized_name': 'Asian'}]",restaurant,4.0,"{'ranking_string': '#4 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '4', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#1 of 3 Dessert in Pangkal Pinang']}",48,[],48,https://www.tripadvisor.com/Restaurant_Review-g1234796-d3853774-Reviews-Es_Ayong-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,4972844,Indonesia,Pangkal Pinang,33115.0,Otak Otak Amui,-2.1327,106.11183999999999,"Jl Melintas no 23, Pangkal Pinang, Bangka Island 33115 Indonesia","[{'name': 'indonesian', 'localized_name': 'Indonesian'}, {'name': 'asian', 'localized_name': 'Asian'}]",restaurant,4.0,"{'ranking_string': '#7 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '7', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#6 of 39 Restaurants in Pangkal Pinang']}",58,[],58,https://www.tripadvisor.com/Restaurant_Review-g1234796-d4972844-Reviews-Otak_Otak_Amui-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,12817198,Indonesia,Pangkal Pinang,,Bananabox,-2.13037,106.11143999999999,"Jl. Masjid Jamik, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'fast_food', 'localized_name': 'Fast Food'}, {'name': 'street_food', 'localized_name': 'Street Food'}]",restaurant,,,0,[],0,https://www.tripadvisor.com/Restaurant_Review-g1234796-d12817198-Reviews-Bananabox-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,3956668,Indonesia,Pangkal Pinang,,RM Asui,-2.133944,106.11336499999999,"Kampung Bintang, Pangkal Pinang, Bangka Island Indonesia","[{'name': 'seafood', 'localized_name': 'Seafood'}, {'name': 'asian', 'localized_name': 'Asian'}, {'name': 'indonesian', 'localized_name': 'Indonesian'}]",restaurant,3.5,"{'ranking_string': '#5 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '5', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#4 of 39 Restaurants in Pangkal Pinang']}",109,[],109,https://www.tripadvisor.com/Restaurant_Review-g1234796-d3956668-Reviews-RM_Asui-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
TripAdvisor,8705556,Indonesia,Pangkal Pinang,,Tahu Kok Yen Yen,-2.133701,106.11437,"Jl. Yang Zubaidah no. 148, Pangkal Pinang, Bangka Island Indonesia",[],restaurant,4.0,"{'ranking_string': '#8 of 43 Places to Eat in Pangkal Pinang', 'ranking_out_of': '43', 'geo_location_id': '1234796', 'ranking': '8', 'geo_location_name': 'Pangkal Pinang', 'ranking_string_detail': ['#7 of 39 Restaurants in Pangkal Pinang']}",18,[],18,https://www.tripadvisor.com/Restaurant_Review-g1234796-d8705556-Reviews-Tahu_Kok_Yen_Yen-Pangkal_Pinang_Bangka_Island_Bangka_Belitung_Islands_Sumatra.html?m=39546
